residual_std_batch_step,beta_mean_step,step,val_bias_scaled,need_mean,got_mean,residual_std_batch_epoch,beta_mean_epoch,beta_min,beta_max,top1_period,val_loss,epoch,beta_min_epoch,beta_max_epoch,train_loss_epoch,residual_std_batch,beta_min_step,beta_max_step,train_loss_step
0.05467149242758751,0.699999988079071,0,,,,,,,,,,,,,,,,,
0.026804067194461823,0.699999988079071,1,,,,,,,,,,,,,,,,,
0.03731393441557884,0.699999988079071,2,,,,,,,,,,,,,,,,,
0.062390539795160294,0.699999988079071,3,,,,,,,,,,,,,,,,,
0.14611126482486725,0.699999988079071,4,,,,,,,,,,,,,,,,,
,,29,-0.014555263333022594,-0.014627096243202686,-0.0291900634765625,0.0654582604765892,0.699999988079071,0.699999988079071,0.699999988079071,24.0,0.4892227053642273,0,,,,,,,
,,29,,,,,0.7000004053115845,,,24.0,,0,0.7000004053115845,0.7000004053115845,20.070138931274414,,,,
,0.699999988079071,49,,,,,,,,,,1,,,,0.11711908131837845,0.699999988079071,0.699999988079071,0.222015380859375
0.05467149242758751,0.699999988079071,5,,,,,,,,,,,,,,,,,
0.026804067194461823,0.699999988079071,6,,,,,,,,,,,,,,,,,
0.03731393441557884,0.699999988079071,7,,,,,,,,,,,,,,,,,
0.062390539795160294,0.699999988079071,8,,,,,,,,,,,,,,,,,
0.14611126482486725,0.699999988079071,9,,,,,,,,,,,,,,,,,
,,59,0.05512487143278122,-0.014627096243202686,0.04049987718462944,0.0654582604765892,0.699999988079071,0.699999988079071,0.699999988079071,24.0,0.2948000729084015,1,,,,,,,
,,59,,,,,0.7000004053115845,,,24.0,,1,0.7000004053115845,0.7000004053115845,0.2469143122434616,,,,
0.05467149242758751,0.699999988079071,10,,,,,,,,,,,,,,,,,
0.026804067194461823,0.699999988079071,11,,,,,,,,,,,,,,,,,
0.03731393441557884,0.699999988079071,12,,,,,,,,,,,,,,,,,
0.062390539795160294,0.699999988079071,13,,,,,,,,,,,,,,,,,
0.14611126482486725,0.699999988079071,14,,,,,,,,,,,,,,,,,
,,89,0.04944722726941109,-0.014627096243202686,0.034820556640625,0.0654582604765892,0.699999988079071,0.699999988079071,0.699999988079071,24.0,0.2557673156261444,2,,,,,,,
,,89,,,,,0.7000004053115845,,,24.0,,2,0.7000004053115845,0.7000004053115845,0.18672429025173187,,,,
,0.699999988079071,99,,,,,,,,,,3,,,,0.10174714028835297,0.699999988079071,0.699999988079071,0.1723703145980835
0.05467149242758751,0.699999988079071,15,,,,,,,,,,,,,,,,,
0.026804067194461823,0.699999988079071,16,,,,,,,,,,,,,,,,,
0.03731393441557884,0.699999988079071,17,,,,,,,,,,,,,,,,,
0.062390539795160294,0.699999988079071,18,,,,,,,,,,,,,,,,,
0.14611126482486725,0.699999988079071,19,,,,,,,,,,,,,,,,,
,,119,0.020091736689209938,-0.014627096243202686,0.005467605777084827,0.0654582604765892,0.699999988079071,0.699999988079071,0.699999988079071,24.0,0.2795780599117279,3,,,,,,,
,,119,,,,,0.7000004053115845,,,24.0,,3,0.7000004053115845,0.7000004053115845,0.17563609778881073,,,,
,0.699999988079071,149,,,,,,,,,,4,,,,0.1253955364227295,0.699999988079071,0.699999988079071,0.16701887547969818
0.05467149242758751,0.699999988079071,20,,,,,,,,,,,,,,,,,
0.026804067194461823,0.699999988079071,21,,,,,,,,,,,,,,,,,
0.03731393441557884,0.699999988079071,22,,,,,,,,,,,,,,,,,
0.062390539795160294,0.699999988079071,23,,,,,,,,,,,,,,,,,
0.14611126482486725,0.699999988079071,24,,,,,,,,,,,,,,,,,
,,149,0.027452101930975914,-0.014627096243202686,0.012827252969145775,0.0654582604765892,0.699999988079071,0.699999988079071,0.699999988079071,24.0,0.2919237017631531,4,,,,,,,
,,149,,,,,0.7000004053115845,,,24.0,,4,0.7000004053115845,0.7000004053115845,0.17135842144489288,,,,
0.05467149242758751,0.699999988079071,25,,,,,,,,,,,,,,,,,
0.026804067194461823,0.699999988079071,26,,,,,,,,,,,,,,,,,
0.03731393441557884,0.699999988079071,27,,,,,,,,,,,,,,,,,
0.062390539795160294,0.699999988079071,28,,,,,,,,,,,,,,,,,
0.14611126482486725,0.699999988079071,29,,,,,,,,,,,,,,,,,
,,179,0.03297070413827896,-0.014627096243202686,0.01834411546587944,0.0654582604765892,0.699999988079071,0.699999988079071,0.699999988079071,24.0,0.27974700927734375,5,,,,,,,
,,179,,,,,0.7000004053115845,,,24.0,,5,0.7000004053115845,0.7000004053115845,0.1691688895225525,,,,
